saddr,daddr,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.2.44:57810,23.1.1.1:80,4253,5,0,0,0,0,0,0,0,0,0,0,0,0,1175.640724,1063.25,1098.16009,2682,247,4253,1063.25,1098.16009,2682,247,0,0,0,0,0,0,0,0,0,160,0,1175.640724,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,496,0,0,32,0,0,0,0,0,0,0,0,Application
172.16.3.12:33746,23.1.1.1:80,514621,1,1,0,0,0,0,0,0,0,0,0,0,0,3.886355201,514621,0,514621,514621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,1.943177601,1.943177601,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,509,0,40,0,0,0,0,0,0,0,0,Application
172.16.2.100:41234,23.1.1.1:80,486024,3,8,337,8296,337,0,112.3333333,194.5670407,1448,0,1037,654.1847708,17762.49733,22.6326272,48602.4,71343.24484,173549,247,278720,139360,196735.4913,278473,247,346075,49439.28571,116168.5587,312320,1223,0,0,0,0,104,264,6.17253469,16.46009251,0,1448,719.4166667,707.2032572,500136.447,1,2,0,2,10,0,0,0,2,784.8181818,112.3333333,1037,0,0,0,8633,7,41644,0,30,0,754,64240,501,1,32,0,0,0,0,0,0,0,0,Application
172.16.2.162:58132,23.1.1.2:80,65311554,7,0,0,0,0,0,0,0,0,0,0,0,0,0.107178586,10900000,12500000,33800000,1022041,65300000,10900000,12500000,33800000,1022041,0,0,0,0,0,0,0,0,0,280,0,0.107178586,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,7179924,0,7179924,7179924,19400000,13100000,33800000,8189605,SlowDDoS
172.16.3.185:44178,23.1.1.2:80,64431751,7,0,0,0,0,0,0,0,0,0,0,0,0,0.108642089,10700000,12200000,33000000,1037613,64400000,10700000,12200000,33000000,1037613,0,0,0,0,0,0,0,0,0,280,0,0.108642089,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,7072728,0,7072728,7072728,19100000,12700000,33000000,8194373,SlowDDoS
172.16.2.74:43298,23.1.1.7:41577,308824,2,0,32,0,32,0,16,22.627417,0,0,0,0,103.6188897,6.476180608,308824,0,308824,308824,308824,308824,0,308824,308824,0,0,0,0,0,0,0,0,0,40,0,6.476180608,0,0,32,21.33333333,18.47520861,341.3333333,1,1,0,0,0,0,0,0,0,32,16,0,0,0,0,0,0,0,1,16,0,0,8192,0,0,20,0,0,0,0,0,0,0,0,Botnet
172.16.2.74:43298,23.1.1.7:41577,308824,2,0,32,0,32,0,16,22.627417,0,0,0,0,103.6188897,6.476180608,308824,0,308824,308824,308824,308824,0,308824,308824,0,0,0,0,0,0,0,0,0,40,0,6.476180608,0,0,32,21.33333333,18.47520861,341.3333333,1,1,0,0,0,0,0,0,0,32,16,0,0,0,0,0,0,0,1,16,0,0,8192,0,0,20,0,0,0,0,0,0,0,0,Benign
172.16.2.74:43298,23.1.1.7:41577,308824,2,0,32,0,32,0,16,22.627417,0,0,0,0,103.6188897,6.476180608,308824,0,308824,308824,308824,308824,0,308824,308824,0,0,0,0,0,0,0,0,0,40,0,6.476180608,0,0,32,21.33333333,18.47520861,341.3333333,1,1,0,0,0,0,0,0,0,32,16,0,0,0,0,0,0,0,1,16,0,0,8192,0,0,20,0,0,0,0,0,0,0,0,Benign
