Flow ID,saddr,sport,daddr,dport,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.0.20-23.1.1.7-48179-41407-17,23.1.0.20,48179,23.1.1.7,41407,17,03/04/2023 03:19:59 PM,275926,2,0,2944,0,1472,1472,1472.0,0.0,0,0,0.0,0.0,10669.52734,7.248320202,275926.0,0.0,275926.0,275926.0,275926.0,275926.0,0.0,275926.0,275926.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,7.248320202,0.0,1472,1472,1472.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2208.0,1472.0,0.0,0,0,0,0,0,0,1,1472,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.0.21-23.1.1.7-47791-48264-6,23.1.0.21,47791,23.1.1.7,48264,6,09/04/2023 07:19:13 AM,9379344,62,0,89060,0,1460,0,1436.451613,185.4201854,0,0,0.0,0.0,9495.333576,6.610270398,153759.7377,137196.8434,541466.0,2450.0,9379344.0,153759.7377,137196.8434,541466.0,2450.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1240,0,6.610270398,0.0,0,1460,1436.825397,183.9427102,33834.92063,1,61,0,0,0,0,0,0,0,1460.0,1436.451613,0.0,0,0,0,89060,61,9682,1,1436,0,0,8192,0,60,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.1.7-23.1.0.14-60007-60556-6,23.1.1.7,60007,23.1.0.14,60556,6,04/04/2023 08:38:55 AM,24600,2,5,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,284.5528455,4100.0,7553.155897,18864.0,1.0,18864.0,18864.0,0.0,18864.0,18864.0,240.0,60.0,115.3371868,233.0,1.0,0,0,0,0,104,180,81.30081301,203.2520325,0,0,0.0,0.0,0.0,1,1,0,0,6,0,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,510,502,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.0.28-23.1.1.7-0-0-0,23.1.0.28,0,23.1.1.7,0,0,05/04/2023 12:44:53 PM,119840244,3873,24,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32.5182916,30759.81622,339345.0324,12600000.0,3.0,120000000.0,30950.47624,340395.6729,12600000.0,231.0,117000000.0,5070913.826,9223502.234,32000000.0,11100.0,0,0,0,0,0,0,32.31802499,0.200266615,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19700000.0,28100000.0,61100000.0,47348.0,9189862.0,2304717.199,12600000.0,7736960.0,Benign
23.1.0.14-23.1.1.7-37236-60004-6,23.1.0.14,37236,23.1.1.7,60004,6,04/04/2023 08:34:05 AM,18066905,5951,5926,8517725,0,2896,0,1431.309864,158.6291138,0,0,0.0,0.0,471454.574,657.3898518,1521.29547,6444.578727,403584.0,1.0,18066905.0,3036.454622,11101.72559,486397.0,4.0,17952493.0,3029.956624,28262.043,636768.0,1.0,0,0,0,0,190492,314700,329.3867987,328.0030531,0,2896,717.1009429,724.4370055,524808.975,1,0,0,140,11877,0,0,0,0,717.1613202,1431.309864,0.0,0,0,0,8517725,5884,471526,0,717,0,0,502,15409,5884,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23.1.0.1-23.1.1.1-56596-80-6,23.1.0.1,56596,23.1.1.1,80,6,05/04/2023 12:11:54 PM,391302,3,2,60,2504,60,0,20.0,34.64101615,2504,0,1252.0,1770.59538,6552.483759,12.77785444,97825.5,68137.53904,160229.0,734.0,231073.0,115536.5,162355.2525,230339.0,734.0,274461.0,274461.0,0.0,274461.0,274461.0,0,0,0,0,104,72,7.666712667,5.111141778,0,2504,427.3333333,1017.637788,1035586.667,1,2,0,2,4,0,0,0,0,512.8,20.0,1252.0,0,0,0,0,0,0,0,12,0,500,64240,509,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
23.1.0.1-23.1.1.1-37432-80-6,23.1.0.1,37432,23.1.1.1,80,6,03/04/2023 03:30:13 PM,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,451,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
23.1.1.1-23.1.0.1-80-38420-6,23.1.1.1,80,23.1.0.1,38420,6,03/04/2023 03:35:53 PM,602428,5,5,5400,0,1448,0,1080.0,627.145916,0,0,0.0,0.0,8963.726786,16.59949405,66936.44444,195523.4804,588311.0,2.0,5802.0,1450.5,671.7144731,2429.0,898.0,8315.0,2078.75,2766.006914,5846.0,2.0,0,0,0,0,160,160,8.299747024,8.299747024,0,1448,490.9090909,689.5171433,475433.8909,1,0,0,1,10,0,0,0,1,540.0,1080.0,0.0,0,0,0,5400,4,1600948,0,540,0,0,509,501,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Application
23.1.0.9-23.1.1.1-36572-80-6,23.1.0.9,36572,23.1.1.1,80,6,05/04/2023 12:22:30 PM,117501851,2,2,0,1448,0,0,0.0,0.0,1448,0,724.0,1023.890619,12.32321013,0.034042017,39167283.67,63468698.44,112395367.0,1470.0,112396837.0,112396837.0,0.0,112396837.0,112396837.0,5106484.0,5106484.0,0.0,5106484.0,5106484.0,0,0,0,0,64,64,0.017021008,0.017021008,0,1448,289.6,647.5652863,419340.8,2,0,0,0,4,0,0,0,1,362.0,0.0,724.0,0,0,0,0,0,0,0,0,0,362,501,507,0,32,1470.0,0.0,1470.0,1470.0,58750190.5,75865736.16,112395367.0,5105014.0,Application
23.1.0.1-23.1.1.1-60630-80-6,23.1.0.1,60630,23.1.1.1,80,6,03/04/2023 03:29:53 PM,13232158,3,9,60,12640,60,0,20.0,34.64101615,1448,1056,1404.444444,130.6666667,959.7829772,0.906881553,1202923.455,2445924.748,8374384.0,1251.0,2608577.0,1304288.5,1283379.716,2211775.0,396802.0,10900000.0,1368627.875,2856163.52,8374384.0,1251.0,0,0,0,0,116,288,0.226720388,0.680161165,0,1448,976.9230769,676.1068039,457120.4103,1,1,0,2,11,0,0,0,3,1058.333333,20.0,1404.444444,0,0,0,6848,5,8701,0,5,0,1053,64240,502,1,32,4070798.0,0.0,4070798.0,4070798.0,8374384.0,0.0,8374384.0,8374384.0,Application
23.1.0.4-23.1.1.4-161-58070-17,23.1.0.4,161,23.1.1.4,58070,17,03/04/2023 03:16:47 PM,109358440,2,0,2944,0,1472,1472,1472.0,0.0,0,0,0.0,0.0,26.92064737,0.018288483,109000000.0,0.0,109000000.0,109000000.0,109000000.0,109000000.0,0.0,109000000.0,109000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0.018288483,0.0,1472,1472,1472.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2208.0,1472.0,0.0,0,0,0,0,0,0,1,1472,0,0,0,0,1,8,0.0,0.0,0.0,0.0,109000000.0,0.0,109000000.0,109000000.0,DrDoS
23.1.0.4-23.1.1.4-11211-36112-17,23.1.0.4,11211,23.1.1.4,36112,17,03/04/2023 03:15:24 PM,114760427,52,0,72800,0,1400,1400,1400.0,0.0,0,0,0.0,0.0,634.365015,0.453117868,2250204.451,16000000.0,115000000.0,1142.0,115000000.0,2250204.451,16000000.0,115000000.0,1142.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,416,0,0.453117868,0.0,1400,1400,1400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1426.923077,1400.0,0.0,0,0,0,36400,26,452604,1,1400,0,0,0,0,51,8,32953.0,0.0,32953.0,32953.0,115000000.0,0.0,115000000.0,115000000.0,DrDoS
23.1.0.4-23.1.1.4-11211-30731-17,23.1.0.4,11211,23.1.1.4,30731,17,03/04/2023 03:14:34 PM,5,2,0,2800,0,1400,1400,1400.0,0.0,0,0,0.0,0.0,560000000.0,400000.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,400000.0,0.0,1400,1400,1400.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2100.0,1400.0,0.0,0,0,0,0,0,0,1,1400,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DrDoS
23.1.0.2-23.1.1.2-57942-80-6,23.1.0.2,57942,23.1.1.2,80,6,09/04/2023 07:33:28 AM,117258230,15,2,2854,0,322,0,190.2666667,161.1864345,0,0,0.0,0.0,24.33944295,0.144979163,7328639.375,23400000.0,94600000.0,2200.0,117000000.0,8375587.857,24900000.0,94600000.0,2200.0,102000000.0,102000000.0,0.0,102000000.0,102000000.0,1,0,0,0,512,60,0.127922791,0.017056372,0,322,174.0,160.7101886,25827.76471,0,5,1,9,12,0,0,0,0,184.2352941,190.2666667,0.0,0,0,0,1610,5,857,0,167,0,0,502,65160,8,32,7477374.0,10600000.0,14900000.0,14615.0,51200000.0,61400000.0,94600000.0,7710481.0,SlowDDoS
23.1.0.2-23.1.1.2-38208-80-6,23.1.0.2,38208,23.1.1.2,80,6,09/04/2023 07:31:00 AM,111594238,15,3,2780,488,278,0,185.3333333,135.6501101,488,0,162.6666667,281.7469314,29.28466611,0.161298651,6564366.941,11800000.0,38100000.0,236.0,73500000.0,5252003.286,9328225.554,33800000.0,6615.0,104000000.0,52200000.0,73800000.0,104000000.0,236.0,0,0,0,0,504,104,0.134415542,0.026883108,0,488,172.0,157.9184037,24938.22222,1,4,0,11,15,0,0,0,0,181.5555556,185.3333333,162.6666667,0,0,0,1112,4,1102,0,154,0,27,64240,501,10,32,15400000.0,0.0,15400000.0,15400000.0,24000000.0,14200000.0,38100000.0,8217408.0,SlowDDoS
23.1.0.2-23.1.1.2-34788-80-6,23.1.0.2,34788,23.1.1.2,80,6,09/04/2023 07:18:44 AM,108668980,3,0,10,0,10,0,3.333333333,5.773502692,0,0,0.0,0.0,0.092022581,0.027606774,54334490.0,75497110.79,107719009.0,949971.0,108668980.0,54334490.0,75497110.79,107719009.0,949971.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,112,0,0.027606774,0.0,0,10,2.5,5.0,25.0,0,2,0,1,1,0,0,0,0,3.333333333,3.333333333,0.0,0,0,0,0,0,0,1,3,0,0,64240,0,1,32,949971.0,0.0,949971.0,949971.0,107719009.0,0.0,107719009.0,107719009.0,SlowDDoS
23.1.0.2-23.1.1.2-55036-80-6,23.1.0.2,55036,23.1.1.2,80,6,09/04/2023 07:30:20 AM,114056948,18,4,3148,0,329,0,174.8888889,139.7585687,0,0,0.0,0.0,27.60024755,0.192886101,5431283.238,12600000.0,53200000.0,2220.0,114000000.0,6706930.882,13700000.0,53200000.0,2220.0,107000000.0,35600000.0,61200000.0,106000000.0,78723.0,0,0,0,0,608,136,0.157815901,0.0350702,0,329,136.8695652,143.2950879,20533.48221,0,5,0,12,18,0,0,0,0,143.0909091,174.8888889,0.0,0,0,0,1112,4,714,0,143,0,0,64240,501,12,32,13900000.0,0.0,13900000.0,13900000.0,24900000.0,20600000.0,53200000.0,6571148.0,SlowDDoS
23.1.1.2-23.1.0.2-80-56082-6,23.1.1.2,80,23.1.0.2,56082,6,09/04/2023 07:33:13 AM,118226516,1,6,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.059208376,19700000.0,40900000.0,103000000.0,241.0,0.0,0.0,0.0,0.0,0.0,118000000.0,23600000.0,44400000.0,103000000.0,1013205.0,0,0,0,0,32,220,0.008458339,0.050750036,0,0,0.0,0.0,0.0,0,5,1,0,1,0,0,0,6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,64240,0,32,3545475.0,5013718.005,7090709.0,241.0,55600000.0,67000000.0,103000000.0,8213106.0,SlowDDoS
